label_a,label_b,f1_a,f1_b,delta_f1,p_value_raw,p_value_adj,significant,source_file
flash-high-image-3-of-5--flash-min-vf (t=0.15),"single-pass-t0 N=5 N=5, 5-of-5",0.851064,0.554113,0.296951,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-single-pass-t0-n-5-n-5-5-of-5.json
flash-high-image-3-of-5--flash-min-vf (t=0.15),text-baseline--flash-min-vf (t=0.15),0.851064,0.832036,0.019028,0.3397,0.368407,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-image-3-of-5-flash-min-vf-t-0-15-vs-text-baseline-flash-min-vf-t-0-15.json
"flash-high-text N=10 N=10, 9-of-10","flash-high-image N=5 N=5, 3-of-5",0.810624,0.79915,0.011474,0.5105,0.538473,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-10-n-10-9-of-10-vs-flash-high-image-n-5-n-5-3-of-5.json
"flash-high-text N=10 N=10, 9-of-10","flash-high-text N=5 N=5, 5-of-5",0.810624,0.788235,0.022388,0.0607,0.075793,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-10-n-10-9-of-10-vs-flash-high-text-n-5-n-5-5-of-5.json
"flash-high-text N=10 N=10, 9-of-10","flash-min-image N=10 N=10, 6-of-10",0.810624,0.733202,0.077422,0.0001,0.000169,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-10-n-10-9-of-10-vs-flash-min-image-n-10-n-10-6-of-10.json
"flash-high-text N=10 N=10, 9-of-10","flash-min-image N=5 N=5, 4-of-5",0.810624,0.724426,0.086198,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-10-n-10-9-of-10-vs-flash-min-image-n-5-n-5-4-of-5.json
"flash-high-text N=10 N=10, 9-of-10","flash-min-text-t07 N=10 N=10, 10-of-10",0.810624,0.641206,0.169418,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-10-n-10-9-of-10-vs-flash-min-text-t07-n-10-n-10-10-of-10.json
"flash-high-text N=10 N=10, 9-of-10","flash-min-text-t07 N=30 N=30, 29-of-30",0.810624,0.66943,0.141194,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-10-n-10-9-of-10-vs-flash-min-text-t07-n-30-n-30-29-of-30.json
"flash-high-text N=10 N=10, 9-of-10","flash-min-text-t07 N=5 N=5, 5-of-5",0.810624,0.647059,0.163565,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-10-n-10-9-of-10-vs-flash-min-text-t07-n-5-n-5-5-of-5.json
"flash-high-text N=10 N=10, 9-of-10",image-baseline--flash-min-vf (t=0.2),0.810624,0.782241,0.028383,0.1515,0.17675,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-10-n-10-9-of-10-vs-image-baseline-flash-min-vf-t-0-2.json
"flash-high-text N=10 N=10, 9-of-10","single-pass-t0 N=10 N=10, 10-of-10",0.810624,0.562641,0.247983,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-10-n-10-9-of-10-vs-single-pass-t0-n-10-n-10-10-of-10.json
"flash-high-text N=10 N=10, 9-of-10","single-pass-t0 N=5 N=5, 5-of-5",0.810624,0.554113,0.256511,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-10-n-10-9-of-10-vs-single-pass-t0-n-5-n-5-5-of-5.json
"flash-high-text N=30 N=30, 26-of-30","flash-high-image N=10 N=10, 6-of-10",0.825882,0.811594,0.014288,0.3811,0.407565,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-flash-high-image-n-10-n-10-6-of-10.json
"flash-high-text N=30 N=30, 26-of-30","flash-high-image N=5 N=5, 3-of-5",0.825882,0.79915,0.026733,0.1133,0.134217,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-flash-high-image-n-5-n-5-3-of-5.json
"flash-high-text N=30 N=30, 26-of-30","flash-high-text N=10 N=10, 9-of-10",0.825882,0.810624,0.015259,0.0671,0.082888,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-flash-high-text-n-10-n-10-9-of-10.json
"flash-high-text N=30 N=30, 26-of-30","flash-high-text N=5 N=5, 5-of-5",0.825882,0.788235,0.037647,0.0019,0.002813,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-flash-high-text-n-5-n-5-5-of-5.json
"flash-high-text N=30 N=30, 26-of-30","flash-min-image N=10 N=10, 6-of-10",0.825882,0.733202,0.092681,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-flash-min-image-n-10-n-10-6-of-10.json
"flash-high-text N=30 N=30, 26-of-30","flash-min-image N=5 N=5, 4-of-5",0.825882,0.724426,0.101456,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-flash-min-image-n-5-n-5-4-of-5.json
"flash-high-text N=30 N=30, 26-of-30","flash-min-text-t07 N=10 N=10, 10-of-10",0.825882,0.641206,0.184676,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-flash-min-text-t07-n-10-n-10-10-of-10.json
"flash-high-text N=30 N=30, 26-of-30","flash-min-text-t07 N=30 N=30, 29-of-30",0.825882,0.66943,0.156452,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-flash-min-text-t07-n-30-n-30-29-of-30.json
"flash-high-text N=30 N=30, 26-of-30","flash-min-text-t07 N=5 N=5, 5-of-5",0.825882,0.647059,0.178824,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-flash-min-text-t07-n-5-n-5-5-of-5.json
"flash-high-text N=30 N=30, 26-of-30",image-baseline--flash-min-vf (t=0.2),0.825882,0.782241,0.043641,0.0244,0.032025,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-image-baseline-flash-min-vf-t-0-2.json
"flash-high-text N=30 N=30, 26-of-30","pro-high-image N=5 N=5, 3-of-5",0.825882,0.821192,0.00469,0.8038,0.81082,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-pro-high-image-n-5-n-5-3-of-5.json
"flash-high-text N=30 N=30, 26-of-30","single-pass-t0 N=10 N=10, 10-of-10",0.825882,0.562641,0.263242,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-single-pass-t0-n-10-n-10-10-of-10.json
"flash-high-text N=30 N=30, 26-of-30","single-pass-t0 N=5 N=5, 5-of-5",0.825882,0.554113,0.27177,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-30-n-30-26-of-30-vs-single-pass-t0-n-5-n-5-5-of-5.json
"flash-high-text N=5 N=5, 5-of-5","flash-min-image N=10 N=10, 6-of-10",0.788235,0.733202,0.055034,0.0043,0.006131,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-5-n-5-5-of-5-vs-flash-min-image-n-10-n-10-6-of-10.json
"flash-high-text N=5 N=5, 5-of-5","flash-min-image N=5 N=5, 4-of-5",0.788235,0.724426,0.063809,0.0004,0.000646,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-5-n-5-5-of-5-vs-flash-min-image-n-5-n-5-4-of-5.json
"flash-high-text N=5 N=5, 5-of-5","flash-min-text-t07 N=10 N=10, 10-of-10",0.788235,0.641206,0.147029,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-5-n-5-5-of-5-vs-flash-min-text-t07-n-10-n-10-10-of-10.json
"flash-high-text N=5 N=5, 5-of-5","flash-min-text-t07 N=30 N=30, 29-of-30",0.788235,0.66943,0.118805,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-5-n-5-5-of-5-vs-flash-min-text-t07-n-30-n-30-29-of-30.json
"flash-high-text N=5 N=5, 5-of-5","flash-min-text-t07 N=5 N=5, 5-of-5",0.788235,0.647059,0.141176,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-5-n-5-5-of-5-vs-flash-min-text-t07-n-5-n-5-5-of-5.json
"flash-high-text N=5 N=5, 5-of-5",image-baseline--flash-min-vf (t=0.2),0.788235,0.782241,0.005994,0.7775,0.7912,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-5-n-5-5-of-5-vs-image-baseline-flash-min-vf-t-0-2.json
"flash-high-text N=5 N=5, 5-of-5","single-pass-t0 N=10 N=10, 10-of-10",0.788235,0.562641,0.225595,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-5-n-5-5-of-5-vs-single-pass-t0-n-10-n-10-10-of-10.json
"flash-high-text N=5 N=5, 5-of-5","single-pass-t0 N=5 N=5, 5-of-5",0.788235,0.554113,0.234123,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-n-5-n-5-5-of-5-vs-single-pass-t0-n-5-n-5-5-of-5.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-image N=10 N=10, 6-of-10",0.904368,0.811594,0.092774,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-high-image-n-10-n-10-6-of-10.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-image N=5 N=5, 3-of-5",0.904368,0.79915,0.105219,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-high-image-n-5-n-5-3-of-5.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-image-3-of-5--flash-min-vf (t=0.15),0.904368,0.851064,0.053305,0.001,0.00153,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-high-image-3-of-5-flash-min-vf-t-0-15.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-text N=10 N=10, 9-of-10",0.904368,0.810624,0.093745,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-high-text-n-10-n-10-9-of-10.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-text N=30 N=30, 26-of-30",0.904368,0.825882,0.078486,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-high-text-n-30-n-30-26-of-30.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-high-text N=5 N=5, 5-of-5",0.904368,0.788235,0.116133,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-high-text-n-5-n-5-5-of-5.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-text-4-of-5--flash-medium-vf (t=0.95),0.904368,0.884977,0.019392,0.1162,0.13695,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-high-text-4-of-5-flash-medium-vf-t-0-95.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-text-4-of-5--flash-min-vf (t=0.15),0.904368,0.890777,0.013592,0.2098,0.23992,no,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-high-text-4-of-5-flash-min-vf-t-0-15.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),flash-high-text-9-of-10--flash-min-vf (t=0.2),0.904368,0.869123,0.035245,0.0009,0.001395,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-high-text-9-of-10-flash-min-vf-t-0-2.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-image N=10 N=10, 6-of-10",0.904368,0.733202,0.171167,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-min-image-n-10-n-10-6-of-10.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-image N=5 N=5, 4-of-5",0.904368,0.724426,0.179942,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-min-image-n-5-n-5-4-of-5.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-text-t07 N=10 N=10, 10-of-10",0.904368,0.641206,0.263162,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-min-text-t07-n-10-n-10-10-of-10.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-text-t07 N=30 N=30, 29-of-30",0.904368,0.66943,0.234938,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-min-text-t07-n-30-n-30-29-of-30.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"flash-min-text-t07 N=5 N=5, 5-of-5",0.904368,0.647059,0.25731,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-flash-min-text-t07-n-5-n-5-5-of-5.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),image-baseline--flash-min-vf (t=0.2),0.904368,0.782241,0.122127,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-image-baseline-flash-min-vf-t-0-2.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"pro-high-image N=5 N=5, 3-of-5",0.904368,0.821192,0.083176,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-pro-high-image-n-5-n-5-3-of-5.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"pro-high-text N=5 N=5, 3-of-5",0.904368,0.855362,0.049007,0.0022,0.003237,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-pro-high-text-n-5-n-5-3-of-5.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),pro-high-text-3-of-5--flash-min-vf (t=0.15),0.904368,0.86445,0.039918,0.0106,0.014575,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-pro-high-text-3-of-5-flash-min-vf-t-0-15.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"single-pass-t0 N=10 N=10, 10-of-10",0.904368,0.562641,0.341728,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-single-pass-t0-n-10-n-10-10-of-10.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),"single-pass-t0 N=5 N=5, 5-of-5",0.904368,0.554113,0.350256,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-single-pass-t0-n-5-n-5-5-of-5.json
flash-high-text-16-of-30--flash-min-vf (t=0.2),text-baseline--flash-min-vf (t=0.15),0.904368,0.832036,0.072333,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-16-of-30-flash-min-vf-t-0-2-vs-text-baseline-flash-min-vf-t-0-15.json
flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-high-image N=10 N=10, 6-of-10",0.884977,0.811594,0.073382,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-4-of-5-flash-medium-vf-t-0-95-vs-flash-high-image-n-10-n-10-6-of-10.json
flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-high-image N=5 N=5, 3-of-5",0.884977,0.79915,0.085827,0.0,0.0,yes,results/pairwise/leaderboard-30m/group_8/leaderboard-distinguishability-flash-high-text-4-of-5-flash-medium-vf-t-0-95-vs-flash-high-image-n-5-n-5-3-of-5.json
