family,question,label_a,label_b,f1_a,f1_b,delta_f1,p_value_raw,p_value_adj,significant,source
prompt_engineering,Library composition (image),P2c Image plus-hp,P2c Image scale-8,0.5985,0.5867,0.0118,0.4983,0.7957,ns,prompt-engineering-512px
prompt_engineering,Library composition (image),P2c Image pure-positive-canon,P2c Image scale-4,0.5678,0.5837,-0.0159,0.4653,0.7957,ns,prompt-engineering-512px
prompt_engineering,Library composition (image),P2c Image pure-positive-canon,P2c Image scale-8,0.5678,0.5867,-0.0189,0.2757,0.7957,ns,prompt-engineering-512px
prompt_engineering,Library composition (image),P2c Image scale-4,P2c Image scale-8,0.5837,0.5867,-0.003,0.888,0.9497,ns,prompt-engineering-512px
prompt_engineering,Text treatment (image),P2d Image terse,P2d Image verbose,0.6052,0.6027,0.0025,0.8779,0.9497,ns,prompt-engineering-512px
prompt_engineering,Text treatment (text),P2d Text terse,P2d Text verbose,0.5984,0.5834,0.015,0.4263,0.7957,ns,prompt-engineering-512px
prompt_engineering,Example ordering,P2e canonical-first,P2e canonical-last,0.5985,0.6314,-0.0329,0.1366,0.6375,ns,prompt-engineering-512px
prompt_engineering,Example ordering,P2e canonical-first,P2e config-default,0.5985,0.6057,-0.0073,0.6401,0.8147,ns,prompt-engineering-512px
prompt_engineering,Example ordering,P2e canonical-first,P2e random,0.5985,0.5706,0.0279,0.1218,0.6375,ns,prompt-engineering-512px
prompt_engineering,Example ordering,P2e canonical-last,P2e config-default,0.6314,0.6057,0.0257,0.1857,0.7428,ns,prompt-engineering-512px
prompt_engineering,Example ordering,P2e canonical-last,P2e random,0.6314,0.5706,0.0608,0.0019,0.0532,ns,prompt-engineering-512px
prompt_engineering,Example ordering,P2e config-default,P2e random,0.6057,0.5706,0.0351,0.0563,0.5488,ns,prompt-engineering-512px
temperature,"T=0.7 vs T=1.0 (N=1, 384px)",FM text T=0.7 run_1 (N=1),FM text T=1.0 run_1 (N=1),0.493115,0.39005,0.103065,0.0034,0.0051,**,factor-analysis-384px
temperature,T=0.7 vs T=1.0 (N=1, Phase 2b text),P2b text T=0.7 run_1,P2b text T=1.0 run_1,0.5837,0.5102,0.073528,0.0055,0.0066,**,factor-analysis-phase2b-retest-n1
temperature,T=0.7 vs T=1.0 (N=1, Phase 2b image),P2b image T=0.7 run_1,P2b image T=1.0 run_1,0.5356,0.5208,0.014719,0.4763,0.4763,ns,factor-analysis-phase2b-retest-n1
temperature,T=0.7 vs T=1.0 (N=5),Flash MIN text T=0.7 5-of-5,Flash MIN text T=1.0 5-of-5,0.639706,0.471233,0.168473,0.0,0.0,***,reused-hypothesis-20m
temperature,T=0.7 vs T=1.0 (N=10),Flash MIN text T=0.7 10-of-10,Flash MIN text T=1.0 9-of-10,0.633166,0.461538,0.171627,0.0,0.0,***,reused-hypothesis-20m
temperature,T=0.7 vs T=1.0 (N=30),Flash MIN text T=0.7 29-of-30,Flash MIN text T=1.0 22-of-30,0.66114,0.466993,0.194147,0.0,0.0,***,reused-hypothesis-20m
thinking,HIGH vs MINIMAL (N=1 text),FH text run_1 (N=1),FM text run_1 (N=1),0.391763,0.493115,-0.101351,0.0,0.0,***,factor-analysis-384px
thinking,HIGH vs MINIMAL (N=1 image),FH image run_1 (N=1),FM image run_1 (N=1),0.515008,0.559933,-0.044925,0.0588,0.0588,ns,factor-analysis-384px
thinking,HIGH vs MINIMAL (text N=5),Flash HIGH text 5-of-5,Flash MIN text 5-of-5,0.778824,0.639706,0.139118,0.0,0.0,***,reused-hypothesis-20m
thinking,HIGH vs MINIMAL (text N=10),Flash HIGH text 9-of-10,Flash MIN text 10-of-10,0.796767,0.633166,0.163601,0.0,0.0,***,reused-hypothesis-20m
thinking,HIGH vs MINIMAL (text N=30),Flash HIGH text 26-of-30,Flash MIN text 29-of-30,0.814118,0.66114,0.152978,0.0,0.0,***,reused-hypothesis-20m
thinking,HIGH vs MINIMAL (image N=5),Flash HIGH image 3-of-5,Flash MIN image 4-of-5,0.726886,0.663883,0.063003,0.0003,0.0004,***,reused-hypothesis-20m
