candidate_id,n_configs,configs,x,y,source_tile
68,3,"image,t0.3,text-high",327211.9,4639842.7,K-35-074-2_x2688_y2352.png
69,3,"t0.3,text-high,text-min",318167.3,4651406.2,K-35-074-2_x672_y0.png
70,3,"t0.3,text-high,text-min",292793.7,4631025.7,K-35-074-3_x0_y336.png
71,3,"image,t0.3,text-high",343009.0,4643222.8,K-35-075-1_x1680_y1344.png
72,3,"t0.3,text-high,text-min",361437.2,4638357.5,K-35-075-2_x1008_y2352.png
73,3,"image,text-high,text-min",354455.9,4649236.6,K-35-075-1_x4032_y336.png
74,3,"image,t0.3,text-high",340364.6,4614517.2,K-35-075-3_x1008_y3696.png
75,3,"image,t0.3,text-high",350196.5,4622827.0,K-35-075-3_x3024_y1680.png
76,3,"image,t0.3,text-high",354664.2,4630718.4,K-35-075-4_x0_y336.png
77,3,"t0.3,text-high,text-min",353406.2,4615393.9,K-35-075-3_x3696_y3360.png
78,3,"t0.3,text-high,text-min",356786.2,4631940.5,K-35-075-4_x336_y0.png
79,3,"image,t0.3,text-high",338606.9,4617193.2,K-35-075-3_x1008_y3024.png
80,3,"image,text-high,text-min",353495.0,4622373.0,K-35-075-3_x3696_y2016.png
81,3,"t0.3,text-high,text-min",376299.9,4645939.4,K-35-076-1_x0_y672.png
82,3,"t0.3,text-high,text-min",416831.5,4647590.9,K-35-076-2_x4032_y336.png
83,3,"image,t0.3,text-high",423693.5,4639106.5,K-35-077-1_x1008_y2016.png
84,3,"image,text-high,text-min",432671.6,4631599.3,K-35-077-1_x3024_y3696.png
85,3,"image,t0.3,text-high",422312.4,4639802.9,K-35-077-1_x1008_y2016.png
86,3,"image,t0.3,text-high",422767.9,4639350.9,K-35-077-1_x1008_y2016.png
87,3,"image,t0.3,text-high",422289.8,4638501.9,K-35-077-1_x1008_y2016.png
88,3,"image,t0.3,text-high",435718.9,4633802.9,K-35-077-1_x3696_y3024.png
89,3,"image,text-high,text-min",452402.2,4642285.2,K-35-077-2_x2688_y1344.png
90,3,"t0.3,text-high,text-min",432339.8,4630685.1,K-35-077-3_x3024_y0.png
91,3,"image,t0.3,text-high",428008.4,4613077.0,K-35-077-3_x2016_y3696.png
92,3,"t0.3,text-high,text-min",344880.8,4634320.4,K-35-075-1_x2016_y3360.png
93,3,"image,t0.3,text-high",330954.8,4696423.6,K-35-050-4_x3024_y2016.png
94,3,"t0.3,text-high,text-min",460743.9,4725998.9,K-35-042-3_x336_y3024.png
95,3,"t0.3,text-high,text-min",479135.2,4740699.0,K-35-042-3_x4032_y0.png
96,3,"image,t0.3,text-high",402986.7,4705991.8,K-35-052-2_x1008_y3696.png
97,3,"image,text-high,text-min",375377.2,4704366.6,K-35-051-4_x3696_y336.png
98,3,"image,t0.3,text-high",388758.2,4687684.9,K-35-052-3_x2352_y3696.png
99,3,"t0.3,text-high,text-min",418641.7,4705734.2,K-35-053-1_x0_y3696.png
100,3,"t0.3,text-high,text-min",429720.7,4713131.4,K-35-053-1_x2352_y2016.png
101,3,"t0.3,text-high,text-min",443347.4,4705519.6,K-35-053-2_x1008_y3696.png
102,3,"t0.3,text-high,text-min",438026.6,4723840.0,K-35-053-1_x4032_y0.png
103,3,"t0.3,text-high,text-min",443304.3,4710878.9,K-35-053-2_x672_y2352.png
104,3,"t0.3,text-high,text-min",448876.7,4692703.0,K-35-053-4_Boyadzhik_x2016_y2352.png
105,3,"image,t0.3,text-high",490008.1,4686905.5,K-35-054-4_Voynika_x2016_y3360.png
106,3,"image,t0.3,text-high",519664.5,4692837.5,K-35-055-3_x3696_y2352.png
107,3,"image,text-high,text-min",551721.6,4698173.2,K-35-056-3_x2016_y1344.png
108,3,"t0.3,text-high,text-min",352209.1,4662118.6,K-35-063-3_Tatarevo_4326_x3360_y1680.png
109,3,"t0.3,text-high,text-min",349422.4,4664864.0,K-35-063-3_Tatarevo_4326_x3024_y1008.png
110,3,"image,t0.3,text-high",382214.9,4650959.3,K-35-064-3_Dimitrovgrad_4326_x1008_y3360.png
111,3,"t0.3,text-high,text-min",394182.5,4661467.6,K-35-064-3_Dimitrovgrad_4326_x3360_y1344.png
112,3,"image,t0.3,text-high",416391.6,4657322.7,K-35-064-4_Galabovo_4326_x3696_y2352.png
113,3,"image,text-high,text-min",410851.8,4652658.5,K-35-064-4_Galabovo_4326_x2688_y3024.png
114,3,"image,t0.3,text-high",441081.6,4670789.3,K-35-065-2_GManastir_4326_x336_y3024.png
115,3,"image,t0.3,text-high",417390.5,4655255.6,K-35-065-3_Glavan_4326_x0_y2352.png
116,3,"image,t0.3,text-high",437700.7,4661942.3,K-35-065-3_Glavan_4326_x4032_y1008.png
117,3,"t0.3,text-high,text-min",432427.7,4650687.4,K-35-065-3_Glavan_4326_x3024_y3360.png
118,3,"image,t0.3,text-high",452464.9,4652758.6,K-35-065-4_x2688_y3024.png
119,3,"image,t0.3,text-high",452471.9,4652575.2,K-35-065-4_x2688_y3024.png
120,3,"t0.3,text-high,text-min",456538.1,4652845.1,K-35-065-4_x3696_y3024.png
121,3,"t0.3,text-high,text-min",437248.0,4651058.7,K-35-065-3_Glavan_4326_x4032_y3360.png
122,3,"t0.3,text-high,text-min",475881.0,4662344.0,K-35-066-3_x3360_y1008.png
123,3,"image,t0.3,text-high",510757.4,4679300.4,K-35-067-1_x2016_y1344.png
124,3,"image,t0.3,text-high",516549.2,4674144.0,K-35-067-1_x3024_y2352.png
125,3,"t0.3,text-high,text-min",515310.4,4657355.2,K-35-067-3_x3024_y2016.png
126,3,"image,t0.3,text-high",500943.7,4676690.4,K-35-067-1_x0_y1680.png
127,3,"t0.3,text-high,text-min",307074.4,4646709.6,K-35-074-1_x2688_y1008.png
128,3,"t0.3,text-high,text-min",296418.9,4649887.4,K-35-074-1_x672_y336.png
129,3,"t0.3,text-high,text-min",296367.3,4649621.7,K-35-074-1_x672_y336.png
130,3,"image,t0.3,text-high",313116.8,4631882.4,K-35-074-4_x0_y0.png
131,3,"image,t0.3,text-high",311041.9,4622605.1,K-35-074-3_x3696_y2016.png
132,3,"t0.3,text-high,text-min",331339.8,4625238.8,K-35-074-4_x3360_y1344.png
133,3,"image,t0.3,text-high",339905.7,4635740.6,K-35-075-1_x1008_y3024.png
134,3,"image,t0.3,text-high",349539.9,4648566.9,K-35-075-1_x3024_y336.png
135,3,"t0.3,text-high,text-min",373614.1,4639342.1,K-35-075-2_x3696_y2352.png
136,3,"image,t0.3,text-high",358366.7,4634475.3,K-35-075-2_x672_y3024.png
137,3,"t0.3,text-high,text-min",340787.2,4627024.9,K-35-075-3_x1344_y1008.png
138,3,"t0.3,text-high,text-min",341468.3,4624950.8,K-35-075-3_x1344_y1344.png
139,3,"image,t0.3,text-high",352503.7,4628235.5,K-35-075-3_x3696_y672.png
140,3,"image,t0.3,text-high",367198.1,4615698.5,K-35-075-4_x2352_y3024.png
141,3,"t0.3,text-high,text-min",392606.0,4644733.2,K-35-076-1_x3360_y1008.png
142,3,"image,text-high,text-min",386120.8,4613662.4,K-35-076-3_x2016_y3696.png
143,3,"t0.3,text-high,text-min",397103.0,4630374.7,K-35-076-4_x0_y0.png
144,3,"t0.3,text-high,text-min",408234.8,4628452.4,K-35-076-4_x2352_y336.png
145,3,"t0.3,text-high,text-min",416217.8,4615769.3,K-35-076-4_x4032_y3024.png
146,3,"t0.3,text-high,text-min",422692.9,4644088.3,K-35-077-1_x1008_y1008.png
147,3,"t0.3,text-high,text-min",432736.7,4634934.4,K-35-077-1_x3024_y2688.png
148,3,"t0.3,text-high,text-min",440452.1,4635927.0,K-35-077-2_x336_y2688.png
149,3,"t0.3,text-high,text-min",430976.8,4620783.2,K-35-077-3_x2688_y2016.png
150,3,"image,t0.3,text-high",430019.3,4613456.6,K-35-077-3_x2352_y3360.png
151,3,"image,t0.3,text-high",411656.3,4617528.0,K-35-076-4_x3024_y2688.png
152,3,"t0.3,text-high,text-min",475438.7,4739670.7,K-35-042-3_x3024_y336.png
153,3,"t0.3,text-high,text-min",343022.6,4695894.4,K-35-051-3_x1344_y2016.png
154,3,"image,t0.3,text-high",411582.8,4712619.9,K-35-052-2_x2688_y2016.png
155,3,"t0.3,text-high,text-min",376226.4,4698926.4,K-35-051-4_x4032_y1344.png
156,3,"image,t0.3,text-high",377701.4,4687808.4,K-35-052-3_x0_y3696.png
157,3,"t0.3,text-high,text-min",508510.6,4705301.5,K-35-055-1_x1680_y3696.png
158,3,"image,t0.3,text-high",543666.4,4694390.1,K-35-056-3_x336_y2016.png
159,3,"image,t0.3,text-high",453503.5,4661040.1,K-35-065-4_x3024_y1344.png
160,3,"image,t0.3,text-high",445384.5,4661571.2,K-35-065-4_x1344_y1008.png
161,3,"image,text-high,text-min",458495.9,4659582.8,K-35-065-4_x4032_y1680.png
162,3,"image,t0.3,text-high",475579.1,4683093.4,K-35-066-1_x3360_y672.png
163,3,"t0.3,text-high,text-min",465738.3,4658162.7,K-35-066-3_x1344_y1680.png
164,3,"t0.3,text-high,text-min",453718.1,4659301.6,K-35-065-4_x3024_y1680.png
165,3,"image,t0.3,text-high",498044.3,4655541.0,K-35-066-4_x3696_y2352.png
166,3,"image,t0.3,text-high",512063.1,4679065.5,K-35-067-1_x2352_y1344.png
167,3,"t0.3,text-high,text-min",519605.0,4669910.9,K-35-067-1_x3696_y3024.png
168,3,"image,t0.3,text-high",521861.3,4679693.2,K-35-067-2_x0_y1344.png
169,3,"t0.3,text-high,text-min",292791.8,4650806.3,K-35-074-1_x0_y336.png
170,3,"image,text-high,text-min",322091.3,4637790.8,K-35-074-2_x1680_y2688.png
171,3,"t0.3,text-high,text-min",300701.8,4620273.8,K-35-074-3_x1680_y2688.png
172,3,"image,t0.3,text-high",354435.8,4635110.9,K-35-075-1_x4032_y3024.png
173,3,"image,t0.3,text-high",375406.7,4644041.3,K-35-075-2_x4032_y1344.png
174,3,"image,t0.3,text-high",373686.1,4615622.4,K-35-075-4_x3696_y3024.png
175,3,"image,t0.3,text-high",389107.7,4615983.4,K-35-076-3_x2688_y3024.png
176,3,"t0.3,text-high,text-min",396644.1,4631483.0,K-35-076-4_x0_y0.png
177,3,"image,text-high,text-min",379664.4,4646091.7,K-35-076-1_x672_y672.png
178,3,"t0.3,text-high,text-min",433459.4,4643877.2,K-35-077-1_x3024_y1008.png
179,3,"image,text-high,text-min",456382.0,4636384.3,K-35-077-2_x3360_y2352.png
180,3,"image,t0.3,text-high",441288.5,4647439.5,K-35-077-2_x672_y336.png
181,3,"image,t0.3,text-high",422845.9,4617862.5,K-35-077-3_x1008_y2688.png
182,3,"image,text-high,text-min",373677.7,4623413.1,K-35-075-4_x3696_y1680.png
183,3,"t0.3,text-high,text-min",416226.7,4618140.1,K-35-076-4_x4032_y2688.png
184,3,"t0.3,text-high,text-min",427151.7,4722334.8,K-35-053-1_x1680_y336.png
185,3,"t0.3,text-high,text-min",480202.6,4696405.1,K-35-054-4_Voynika_x0_y1680.png
186,3,"image,t0.3,text-high",521256.3,4706192.8,K-35-055-2_x0_y3360.png
187,3,"t0.3,text-high,text-min",544505.8,4686983.7,K-35-056-3_x336_y3696.png
188,3,"t0.3,text-high,text-min",371119.5,4676186.6,K-35-063-2_Chirpan_4326_x3024_y2352.png
189,3,"image,t0.3,text-high",376398.3,4662826.6,K-35-064-3_Dimitrovgrad_4326_x0_y1008.png
190,3,"t0.3,text-high,text-min",500588.5,4665284.0,K-35-067-3_x0_y336.png
191,3,"image,t0.3,text-high",324153.6,4633525.2,K-35-074-2_x2016_y3360.png
192,3,"t0.3,text-high,text-min",320377.6,4625263.3,K-35-074-4_x1344_y1344.png
193,3,"t0.3,text-high,text-min",345565.6,4642987.6,K-35-075-1_x2016_y1344.png
194,3,"image,t0.3,text-high",293053.3,4617631.0,K-35-074-3_x0_y3024.png
195,3,"image,t0.3,text-high",344874.3,4626275.1,K-35-075-3_x2016_y1008.png
196,3,"image,t0.3,text-high",398711.6,4638027.3,K-35-076-2_x336_y2352.png
197,3,"t0.3,text-high,text-min",431114.1,4614380.4,K-35-077-3_x2688_y3360.png
198,3,"image,t0.3,text-min",474603.9,4698504.8,K-35-054-3_Yambol_x3024_y1008.png
199,3,"image,t0.3,text-min",457309.5,4651152.0,K-35-065-4_x3696_y3360.png
200,3,"image,t0.3,text-min",483298.5,4675933.7,K-35-066-2_x672_y2016.png
201,3,"image,t0.3,text-min",479806.7,4665527.2,K-35-066-4_x0_y336.png
202,3,"image,t0.3,text-min",412987.8,4655702.0,K-35-064-4_Galabovo_4326_x3024_y2352.png
203,3,"image,t0.3,text-min",493636.1,4654295.8,K-35-066-4_x2688_y2688.png
204,3,"image,t0.3,text-min",342345.4,4640109.7,K-35-075-1_x1344_y2016.png
205,3,"image,t0.3,text-min",390921.8,4641441.5,K-35-076-1_x3024_y1680.png
206,3,"image,t0.3,text-min",410054.1,4723580.3,K-35-052-2_x2352_y0.png
207,3,"image,t0.3,text-min",529824.7,4686864.6,K-35-055-4_x1680_y3696.png
208,3,"image,t0.3,text-min",294002.9,4647250.8,K-35-074-1_x0_y1008.png
209,3,"image,t0.3,text-min",306937.8,4649292.9,K-35-074-1_x2688_y336.png
210,3,"image,t0.3,text-min",426408.4,4720209.8,K-35-053-1_x1680_y672.png
211,3,"image,t0.3,text-min",493860.4,4708147.5,K-35-054-2_Atolov_4326_x2688_y3024.png
212,3,"image,t0.3,text-min",358737.3,4669845.9,K-35-063-4_Skobelevo_4326_x672_y0.png
