month,sku,usage_amount,usage_unit,aud,aud_per_usd,usd,basis
2026-01,Generate_content text output token count for gemini 3 flash,294815,count,1.32,1.4941,0.88,invoice
2026-01,Generate_content text input token count for gemini 3 flash,809556,count,0.60,1.4941,0.40,invoice
2026-02,Generate_content image input token count for gemini 3 flash batch,93109041,count,33.25,1.4284,23.28,invoice
2026-02,Generate_content text output token count for gemini 3 flash batch,2762140,count,5.92,1.4284,4.14,invoice
2026-02,Generate_content text input token count for gemini 3 flash batch,6414415,count,2.29,1.4284,1.60,invoice
2026-02,GenerateContent text output token count for Gemini 2.0 Flash,16,count,0.00,1.4284,0.00,invoice
2026-02,GenerateContent text input token count for Gemini 2.0 Flash,13,count,0.00,1.4284,0.00,invoice
2026-02,Generate_content image input token count for gemini 3 flash,222710287,count,159.05,1.4284,111.35,invoice
2026-02,Generate_content text output token count for gemini 3 flash,5176266,count,22.18,1.4284,15.53,invoice
2026-02,Generate_content text input token count for gemini 3 flash,12505541,count,8.93,1.4284,6.25,invoice
2026-02,Generate_content cached image input token count for gemini 3 flash,111022844,count,7.93,1.4284,5.55,invoice
2026-02,Generate_content cached text input token count for gemini 3 flash,3861560,count,0.28,1.4284,0.20,invoice
2026-03,Generate_content cached text storage token hours for gemini 3 flash,30676.344,hour,0.04,1.4093,0.03,invoice
2026-03,Generate_content text output token count for gemini 3 pro short,472406,count,7.99,1.4093,5.67,invoice
2026-03,Generate_content image input token count for gemini 3 pro short,747054,count,2.11,1.4093,1.50,invoice
2026-03,Generate_content text input token count for gemini 3 pro short,419263,count,1.18,1.4093,0.84,invoice
2026-03,Generate content output token count gemini 3.1 flash lite preview text,939438,count,1.99,1.4093,1.41,invoice
2026-03,Generate content input token count gemini 3.1 flash lite preview image,272250,count,0.10,1.4093,0.07,invoice
2026-03,Generate content input token count gemini 3.1 flash lite preview text,103250,count,0.04,1.4093,0.03,invoice
2026-03,Generate_content text output token count for gemini 3 flash batch,350398414,count,740.72,1.4093,525.59,invoice
2026-03,Generate_content image input token count for gemini 3 flash batch,778946869,count,274.44,1.4093,194.73,invoice
2026-03,Generate_content cached image input token count for gemini 3 flash,669240123,count,47.16,1.4093,33.46,invoice
2026-03,Generate_content text input token count for gemini 3 flash batch,98736471,count,34.79,1.4093,24.69,invoice
2026-03,Generate_content cached text input token count for gemini 3 flash,16424028,count,1.16,1.4093,0.82,invoice
2026-03,Generate_content text output token count for gemini 3 flash,142714659,count,603.38,1.4093,428.14,invoice
2026-03,Generate_content image input token count for gemini 3 flash,111322127,count,78.44,1.4093,55.66,invoice
2026-03,Generate_content text input token count for gemini 3 flash,32835285,count,23.14,1.4093,16.42,invoice
2026-04,Generate_content cached text storage token hours for gemini 3 flash,274027.054,hour,0.40,1.4508,0.28,invoice
2026-04,Generate content output token count gemini 3 flash text flex,695099830,count,1512.73,1.4508,1042.69,invoice
2026-04,Generate content input token count gemini 3 flash image flex,822054815,count,298.17,1.4508,205.52,invoice
2026-04,Generate content input token count gemini 3 flash text flex,269073744,count,97.60,1.4508,67.27,invoice
2026-04,Generate_content text output token count for gemini 3 flash batch,39705737,count,86.41,1.4508,59.56,invoice
2026-04,Generate_content image input token count for gemini 3 flash batch,13363119,count,4.85,1.4508,3.34,invoice
2026-04,Generate_content text input token count for gemini 3 flash batch,5125565,count,1.86,1.4508,1.28,invoice
2026-04,Generate_content text output token count for gemini 3 flash,233200610,count,1015.02,1.4508,699.63,invoice
2026-04,Generate_content cached image input token count for gemini 3 flash,1481961192,count,107.51,1.4508,74.10,invoice
2026-04,Generate_content image input token count for gemini 3 flash,131836762,count,95.64,1.4508,65.92,invoice
2026-04,Generate_content text input token count for gemini 3 flash,14966254,count,10.86,1.4508,7.49,invoice
2026-04,Generate_content cached text input token count for gemini 3 flash,39995923,count,2.90,1.4508,2.00,invoice
2026-05,Generate_content text output token count for gemini 3 pro short,21090,count,0.35,1.3949,0.25,invoice
2026-05,Generate_content image input token count for gemini 3 pro short,42471,count,0.12,1.3949,0.09,invoice
2026-05,Generate_content text input token count for gemini 3 pro short,27417,count,0.08,1.3949,0.06,invoice
2026-05,Generate content output token count gemini 3 pro short text flex,21801,count,0.18,1.3949,0.13,invoice
2026-05,Generate content input token count gemini 3 pro short image flex,43560,count,0.06,1.3949,0.04,invoice
2026-05,Generate content input token count gemini 3 pro short text flex,28120,count,0.04,1.3949,0.03,invoice
2026-05,Generate content output token count gemini 3 flash text flex,1387958,count,2.90,1.3949,2.08,invoice
2026-05,Generate content input token count gemini 3 flash image flex,5789902,count,2.02,1.3949,1.45,invoice
2026-05,Generate content input token count gemini 3 flash text flex,3031890,count,1.06,1.3949,0.76,invoice
2026-05,Generate_content cached image input token count for gemini 3 flash,118620,count,0.01,1.3949,0.01,invoice
2026-05,Generate_content cached text input token count for gemini 3 flash,3315,count,0.00,1.3949,0.00,invoice
2026-06,Generate content input token count gemini 3.5 flash image flex,9207495,count,9.68,1.4011,6.91,invoice
2026-06,Generate content output token count gemini 3.5 flash text flex,1087189,count,6.85,1.4011,4.89,invoice
2026-06,Generate content input token count gemini 3.5 flash text flex,4382505,count,4.61,1.4011,3.29,invoice
2026-06,Generate content output token count gemini 3 flash text flex,28374870,count,59.64,1.4011,42.57,invoice
2026-06,Generate content input token count gemini 3 flash image flex,157474845,count,55.16,1.4011,39.37,invoice
2026-06,Generate content input token count gemini 3 flash text flex,89116265,count,31.22,1.4011,22.28,invoice
2026-06,Generate_content_cached_input_token_count_gemini_3_pro_short_image,55497132,count,15.55,1.4011,11.10,invoice
2026-06,Generate_content image input token count for gemini 3 pro short,4273236,count,11.97,1.4011,8.54,invoice
2026-06,Generate_content text output token count for gemini 3 pro short,374105,count,6.29,1.4011,4.49,invoice
2026-06,Generate content input token count gemini 3 pro short image flex,4275414,count,5.99,1.4011,4.28,invoice
2026-06,Generate content output token count gemini 3 pro short text flex,319422,count,2.69,1.4011,1.92,invoice
2026-06,Generate content input token count gemini 3 pro short text flex,1621438,count,2.27,1.4011,1.62,invoice
2026-06,Generate_content text cached input token count for gemini 3 pro short,1593144,count,0.45,1.4011,0.32,invoice
2026-06,Generate_content text input token count for gemini 3 pro short,82404,count,0.23,1.4011,0.16,invoice
2026-06,Generate_content cached text storage token hours for gemini 3 pro,29842.037,hour,0.19,1.4011,0.14,invoice
2026-07,Generate_content cached image input token count for gemini 3 flash,4831901,count,0.35,1.4468,0.24,invoice
2026-07,Generate_content cached text input token count for gemini 3 flash,134939,count,0.01,1.4468,0.01,invoice
2026-07,Generate content output token count gemini 3 flash text flex,6272963,count,13.61,1.4468,9.41,invoice
2026-07,Generate content input token count gemini 3 flash image flex,6279100,count,2.27,1.4468,1.57,invoice
2026-07,Generate content input token count gemini 3 flash text flex,722101,count,0.26,1.4468,0.18,invoice
2026-08,Generate content input token count gemini 3.7 flash image flex caching,20122880,count,1.09,1.4389,0.76,invoice
2026-08,Generate content input token count gemini 3.7 flash text flex caching,441136,count,0.02,1.4389,0.01,invoice
2026-08,Generate content output token count gemini 3.7 flash text,46705,count,0.25,1.4389,0.17,invoice
2026-08,Generate content input token count gemini 3.7 flash image,121968,count,0.13,1.4389,0.09,invoice
2026-08,Generate content input token count gemini 3.7 flash text,46546,count,0.05,1.4389,0.03,invoice
2026-08,Generate content output token count gemini 3.7 flash text flex,62430515,count,168.44,1.4389,117.06,invoice
2026-08,Generate content input token count gemini 3.7 flash image flex,235690988,count,127.18,1.4389,88.39,invoice
2026-08,Generate content input token count gemini 3.7 flash text flex,109017948,count,58.83,1.4389,40.89,invoice
2026-08,Generate_content text output token count for gemini 3 flash,32064700,count,138.42,1.4389,96.20,invoice
2026-08,Generate_content cached image input token count for gemini 3 flash,522851069,count,37.62,1.4389,26.14,invoice
2026-08,Generate_content image input token count for gemini 3 flash,31765041,count,22.85,1.4389,15.88,invoice
2026-08,Generate_content text input token count for gemini 3 flash,1235215,count,0.89,1.4389,0.62,invoice
2026-08,Generate_content cached text input token count for gemini 3 flash,11588101,count,0.83,1.4389,0.58,invoice
2026-08,Generate_content cached text storage token hours for gemini 3 flash,42402.49,hour,0.06,1.4389,0.04,invoice
2026-08,Generate content input token count gemini 3 flash image flex,707444072,count,254.49,1.4389,176.86,invoice
2026-08,Generate content output token count gemini 3 flash text flex,84941916,count,183.34,1.4389,127.42,invoice
2026-08,Generate content input token count gemini 3 flash text flex,313206362,count,112.67,1.4389,78.30,invoice
2026-09,Generate content input token count gemini 3.7 flash image flex,23704946,count,12.36,1.4389,8.59,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content input token count gemini 3.7 flash image flex caching,89072400,count,4.64,1.4389,3.22,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content output token count gemini 3.7 flash text flex,1645726,count,4.29,1.4389,2.98,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content input token count gemini 3 flash image flex,8616168,count,3.00,1.4389,2.08,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content output token count gemini 3 flash text flex,1275312,count,2.66,1.4389,1.85,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content input token count gemini 3 flash text flex,5306646,count,1.84,1.4389,1.28,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content input token count gemini 3.7 flash text flex,980767,count,0.51,1.4389,0.35,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content input token count gemini 3.8 flash image flex,865755,count,0.45,1.4389,0.31,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content output token count gemini 3.8 flash text flex,169462,count,0.44,1.4389,0.31,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content input token count gemini 3.8 flash text flex,557435,count,0.29,1.4389,0.20,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content input token count gemini 3.7 flash text flex caching,1952655,count,0.10,1.4389,0.07,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content output token count gemini 3.8 flash text,674,count,0.00,1.4389,0.00,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content input token count gemini 3.8 flash image,1089,count,0.00,1.4389,0.00,reports export to 2026-09-11; fx provisional (August rate)
2026-09,Generate content input token count gemini 3.8 flash text,703,count,0.00,1.4389,0.00,reports export to 2026-09-11; fx provisional (August rate)
