candidate_id,inherited_human_label,inherited_symbol_type,dist_m,verifier_probability,source_tile,centroid_x,centroid_y
1031,not_mound,not_mound,4.57,0.15,K-35-075-1_x3024_y1008.png,349344.89129054174,4644932.118929049
2080,not_mound,not_mound,4.84,0.4,K-35-063-4_Skobelevo_4326_x3360_y1008.png,371778.7681137674,4663615.267444767
686,mound,burial_mound,4.88,1.0,K-35-066-1_x1680_y672.png,468887.46146287007,4681737.89508796
1755,mound,burial_mound,5.08,0.95,K-35-067-3_x336_y1008.png,502329.9932862465,4661835.123293308
1536,not_mound,not_mound,5.58,0.4,K-35-062-4_Asenovgrad_4326_x2016_y2016.png,324805.33989909606,4660460.478626762
262,mound,burial_mound,5.86,1.0,K-35-054-2_Atolov_4326_x2352_y336.png,492898.2065156497,4722072.202574785
257,mound,burial_mound,6.0,0.95,K-35-054-1_Straldzha_4326_x3696_y336.png,478795.5578990487,4721283.61321121
654,not_mound,not_mound,6.32,0.3,K-35-065-3_Glavan_4326_x4032_y2688.png,437291.87804651976,4653703.338335198
1418,not_mound,not_mound,6.7,0.2,K-35-053-1_x672_y336.png,422662.724596704,4721687.079527397
1229,mound,burial_mound,6.82,0.95,K-35-077-1_x2688_y3360.png,431047.7733833354,4632184.654475879
1917,mound,trig_point_on_mound,6.88,0.95,K-35-076-2_x1680_y1008.png,404611.3701472072,4643861.488491187
2210,mound,burial_mound,7.03,1.0,K-35-077-3_x1344_y336.png,424919.2195662374,4628983.989382881
268,not_mound,not_mound,8.31,1.0,K-35-054-2_Atolov_4326_x2688_y0.png,493151.55161891703,4722385.418227142
275,mound,bench_mark_on_mound,8.44,1.0,K-35-054-3_Yambol_x1008_y2016.png,464393.0397822034,4693987.496479179
1689,mound,burial_mound,8.76,0.2,K-35-066-1_x3696_y672.png,478798.5277931543,4682093.367578565
2063,mound,burial_mound,8.99,1.0,K-35-063-1_Granit_4326_x1680_y1008.png,344436.2957225797,4683282.2518061735
1279,mound,burial_mound,9.41,1.0,K-35-077-3_x1344_y2016.png,425211.74736012565,4620843.264758216
449,mound,burial_mound,9.98,1.0,K-35-063-1_Granit_4326_x1680_y1008.png,344530.72899129125,4682659.4735425245
1489,mound,burial_mound,10.75,1.0,K-35-055-1_x672_y3360.png,504643.4036812457,4706973.533059328
1218,mound,burial_mound,11.64,1.0,K-35-076-4_x3696_y1344.png,414668.83251179254,4623994.756090242
1529,mound,burial_mound,13.16,0.15,K-35-055-4_x3696_y1680.png,539997.0795118003,4695874.268606609
1239,mound,burial_mound,13.23,1.0,K-35-077-1_x3696_y2688.png,436545.2168265694,4635101.82974984
1732,mound,burial_mound,13.47,0.2,K-35-067-1_x2352_y672.png,512139.98762345116,4682724.399751856
868,mound,burial_mound,15.3,0.15,K-35-067-4_x3024_y0.png,536788.4544796133,4667679.133877336
1682,not_mound,not_mound,15.99,0.7,K-35-066-1_x2688_y0.png,473701.5338775415,4685870.31058566
1026,not_mound,not_mound,16.25,0.2,K-35-075-1_x3696_y2352.png,353464.2943804739,4639060.672149002
1174,not_mound,not_mound,18.9,0.2,K-35-076-2_x3024_y1344.png,412358.1563019119,4642800.935966109
458,not_mound,not_mound,18.97,0.2,K-35-063-1_Granit_4326_x3360_y672.png,351752.79112291883,4685419.224114462
1839,not_mound,not_mound,20.37,0.15,K-35-074-4_x4032_y1008.png,333603.1650537257,4626750.796829522
1920,mound,burial_mound,24.04,1.0,K-35-076-2_x1344_y336.png,404665.77720160445,4648128.540478759
448,mound,burial_mound,25.29,1.0,K-35-063-1_Granit_4326_x1680_y1008.png,344518.08339305525,4683280.328321628
599,mound,bench_mark_on_mound,26.74,1.0,K-35-064-4_Galabovo_4326_x672_y2688.png,399909.9691280241,4654814.61475099
1870,not_mound,not_mound,28.81,0.4,K-35-075-3_x0_y3024.png,333511.30486239656,4617367.694699612
759,mound,burial_mound,30.14,0.85,K-35-067-1_x0_y0.png,501341.68620723643,4685167.120720991
589,mound,burial_mound,31.12,0.4,K-35-064-4_Galabovo_4326_x2352_y3360.png,409661.84430490085,4651681.7042207215
437,mound,burial_mound,34.68,0.4,K-35-063-1_Granit_4326_x0_y2016.png,335805.1075443344,4677794.834280397
250,not_mound,not_mound,36.35,0.2,K-35-054-1_Straldzha_4326_x3360_y2688.png,476152.2805375127,4710089.414453152
1869,not_mound,not_mound,37.89,0.2,K-35-075-3_x0_y3024.png,333482.32534200937,4617310.267592376
