order_index,tile_name,map_name,tier,minx,miny,maxx,maxy,px_m
16,K-35-055-3_x3024_y3024.png,K-35-055-3,10pct,515020.3350921124,4688233.070558215,516944.0389693615,4690156.774435463,5.009645513669511
17,K-35-075-3_x0_y3024.png,K-35-075-3,10pct,333368.1146586888,4615983.531045472,335303.5270890075,4617918.943475791,5.040136537288315
18,K-35-064-4_Galabovo_4326_x2688_y3024.png,K-35-064-4_Galabovo_4326,10pct,409632.1479857636,4652076.278663728,411569.4189654608,4654013.549643425,5.044976509628062
19,K-35-074-4_x1344_y2016.png,K-35-074-4,10pct,319328.55666995456,4621576.740873603,321264.13394261716,4623512.318146266,5.040565814225526
20,K-35-074-3_x1008_y1008.png,K-35-074-3,10pct,296820.9214469528,4627231.251323594,298756.68415825506,4629167.014034896,5.041048727349637
21,K-35-074-3_x3360_y3696.png,K-35-074-3,10pct,308677.46805367916,4613680.912344478,310613.2307649814,4615616.67505578,5.041048727349637
22,K-35-074-4_x336_y3024.png,K-35-074-4,10pct,314247.66632921516,4616495.850532863,316183.24360187777,4618431.427805526,5.040565814225526
23,K-35-063-2_Chirpan_4326_x2016_y1680.png,K-35-063-2_Chirpan_4326,10pct,365100.87880967895,4678209.854317801,367039.02862274606,4680148.004130868,5.047265138195598
24,K-35-051-4_x4032_y672.png,K-35-051-4,10pct,375898.6000368736,4701441.576366309,377822.74101211445,4703365.71734155,5.010783789689715
25,K-35-052-3_x0_y1008.png,K-35-052-3,10pct,376292.1801051769,4699364.669541355,378216.2006922355,4701288.690128414,5.0104702787983415
26,K-35-067-4_x4032_y1344.png,K-35-067-4,10pct,540757.7177067689,4659702.451175217,542687.022215157,4661631.755683605,5.024230490594164
27,K-35-056-3_x1344_y0.png,K-35-056-3,10pct,547666.4163237244,4703624.2761471,549590.191041068,4705548.050864444,5.009829993082349
28,K-35-077-3_x2688_y1344.png,K-35-077-3,10pct,430165.85129950393,4623002.708387855,432100.8102447287,4624937.66733308,5.038955586522813
29,K-35-076-3_x3360_y336.png,K-35-076-3,10pct,391927.69830444024,4628685.852164434,393862.8428189193,4630620.996678913,5.039438839789152
30,K-35-053-4_Boyadzhik_x2688_y1344.png,K-35-053-4_Boyadzhik,10pct,451548.632128015,4696864.637916022,453472.4117852431,4698788.41757325,5.009842857364826
31,K-35-065-3_Glavan_4326_x3024_y1008.png,K-35-065-3_Glavan_4326,10pct,432073.8766227535,4661919.357959282,434009.3340900294,4663854.815426557,5.040253821031001
32,K-35-074-4_x3024_y3696.png,K-35-074-4,10pct,327796.70723785355,4613108.590305704,329732.28451051615,4615044.167578367,5.040565814225526
33,K-35-075-4_x2016_y3696.png,K-35-075-4,10pct,364341.96758280665,4612144.818993022,366277.2357607859,4614080.087171001,5.039760880154215
34,K-35-076-4_x3696_y1680.png,K-35-076-4,10pct,414433.0490340469,4621581.0654807,416368.0904715983,4623516.106918251,5.039170410290201
35,K-35-077-3_x672_y3024.png,K-35-077-3,10pct,420007.316837074,4614537.263002498,421942.27578229876,4616472.221947723,5.038955586522813
36,K-35-054-2_Atolov_4326_x1008_y336.png,K-35-054-2_Atolov_4326,10pct,484318.89908270136,4720213.81577677,486240.7197327827,4722135.636426851,5.00474127625345
37,K-35-055-3_x336_y0.png,K-35-055-3,10pct,501554.4079513688,4703382.238591551,503478.11182861787,4705305.9424688,5.009645513669511
38,K-35-054-3_Yambol_x3024_y0.png,K-35-054-3_Yambol,10pct,473828.0123473304,4703446.5148551995,475751.7517694843,4705370.254277353,5.009738078525818
39,K-35-055-3_x2688_y672.png,K-35-055-3,10pct,513337.0941995195,4700015.756806365,515260.7980767686,4701939.460683614,5.009645513669511
40,K-35-075-4_x1680_y1008.png,K-35-075-4,10pct,362648.60792707483,4625691.696238876,364583.87610505405,4627626.964416856,5.039760880154215
41,K-35-065-1_Radetski_4326_x4032_y2016.png,K-35-065-1_Radetski_4326,10pct,437341.300511568,4675362.317684294,439274.0042733062,4677295.0214460315,5.0330827128597475
42,K-35-055-2_x3696_y3024.png,K-35-055-2,10pct,538825.846869085,4706855.369556067,540746.7883936401,4708776.311080622,5.002451886862218
43,K-35-055-4_x336_y336.png,K-35-055-4,10pct,522074.6391333584,4701789.718750373,523998.3739650494,4703713.453582064,5.0097261241953674
44,K-35-077-4_x2016_y3696.png,K-35-077-4,10pct,447592.02200013463,4610940.286390973,449526.919036122,4612875.18342696,5.038794364550388
45,K-35-052-3_x0_y672.png,K-35-052-3,10pct,376292.1801051769,4701048.187555032,378216.2006922355,4702972.208142091,5.0104702787983415
46,K-35-074-1_x1344_y1344.png,K-35-074-1,10pct,299043.02361530374,4644056.672398249,300976.0099149959,4645989.65869794,5.033818488781738
47,K-35-074-2_x2352_y2688.png,K-35-074-2,10pct,324876.6039529246,4636718.036616641,326809.4060454179,4638650.838709135,5.033338782534581
48,K-35-053-1_x1680_y1008.png,K-35-053-1,10pct,426108.13502105867,4717277.016217809,428029.1809676869,4719198.062164437,5.002723819344283
49,K-35-064-3_Dimitrovgrad_4326_x1680_y3696.png,K-35-064-3_Dimitrovgrad_4326,10pct,383793.08843844215,4649062.524755382,385732.105049089,4651001.541366029,5.049522423559513
50,K-35-064-2_Radnevo_4326_x336_y2688.png,K-35-064-2_Radnevo_4326,10pct,398033.7565832768,4672299.885719641,399968.2733729914,4674234.402509356,5.037804139881852
51,K-35-076-3_x2352_y3024.png,K-35-076-3,10pct,386847.9439539327,4615139.84056308,388783.08846841176,4617074.985077559,5.039438839789152
52,K-35-054-4_Voynika_x336_y0.png,K-35-054-4_Voynika,10pct,480958.1399205792,4703355.701895547,482881.8591433999,4705279.421118367,5.0096854760956075
53,K-35-054-3_Yambol_x4032_y2688.png,K-35-054-3_Yambol,10pct,478877.82833048445,4689980.338900122,480801.56775263837,4691904.078322276,5.009738078525818
54,K-35-076-4_x2688_y2688.png,K-35-076-4,10pct,409353.5652604744,4616501.581707127,411288.60669802583,4618436.623144679,5.039170410290201
55,K-35-065-4_x2352_y0.png,K-35-065-4,10pct,449574.20738676545,4666579.69636952,451503.5572555062,4668509.046238261,5.024348616512422
56,K-35-055-1_x336_y672.png,K-35-055-1,10pct,501551.9658854404,4718530.377716388,503472.88386066415,4720451.295691611,5.002390560478489
57,K-35-055-4_x4032_y2352.png,K-35-055-4,10pct,540590.5868883845,4691690.110883995,542514.3217200756,4693613.845715686,5.0097261241953674
58,K-35-074-1_x2016_y1344.png,K-35-074-1,10pct,302425.749639765,4644056.672398249,304358.7359394572,4645989.65869794,5.033818488781738
59,K-35-065-3_Glavan_4326_x3360_y336.png,K-35-065-3_Glavan_4326,10pct,433767.4019066199,4665306.408527014,435702.8593738958,4667241.8659942895,5.040253821031001
60,K-35-064-2_Radnevo_4326_x2688_y2688.png,K-35-064-2_Radnevo_4326,10pct,409882.6719202789,4672299.885719641,411817.18870999356,4674234.402509356,5.037804139881852
61,K-35-067-1_x0_y2016.png,K-35-067-1,10pct,499871.16612347285,4674758.9957952,501797.65030491434,4676685.479976641,5.016885889170529
62,K-35-063-4_Skobelevo_4326_x1008_y3696.png,K-35-063-4_Skobelevo_4326,10pct,359642.5854038524,4649498.753004755,361583.44363805646,4651439.611238959,5.0543183182397415
63,K-35-062-4_Asenovgrad_4326_x1344_y3360.png,K-35-062-4_Asenovgrad_4326,10pct,319827.86930796667,4652254.951985447,321772.45441185863,4654199.5370893385,5.064023708051991
64,K-35-053-2_x2352_y0.png,K-35-053-2,10pct,450011.6212026037,4722107.756621526,451932.6072857106,4724028.742704633,5.002567924757538
65,K-35-063-4_Skobelevo_4326_x2016_y672.png,K-35-063-4_Skobelevo_4326,10pct,364737.3382686381,4664783.011599112,366678.1965028422,4666723.869833317,5.0543183182397415
66,K-35-077-3_x3360_y1344.png,K-35-077-3,10pct,433552.0294536472,4623002.708387855,435486.98839887197,4624937.66733308,5.038955586522813
67,K-35-054-3_Yambol_x3360_y336.png,K-35-054-3_Yambol,10pct,475511.2843417151,4701763.242860815,477435.023763869,4703686.982282968,5.009738078525818
68,K-35-076-4_x3024_y2688.png,K-35-076-4,10pct,411046.7265183319,4616501.581707127,412981.76795588335,4618436.623144679,5.039170410290201
69,K-35-055-1_x2016_y336.png,K-35-055-1,10pct,509955.98202704417,4720211.180944708,511876.9000022679,4722132.098919932,5.002390560478489
70,K-35-077-1_x1344_y336.png,K-35-077-1,10pct,423598.8757228671,4646592.2818849785,425531.0635891603,4648524.469751271,5.031739235138502
71,K-35-056-3_x2688_y3696.png,K-35-056-3,10pct,554399.6278344272,4685107.944492668,556323.4025517708,4687031.719210012,5.009829993082349
72,K-35-066-4_x1344_y1344.png,K-35-066-4,10pct,485918.98833770165,4659585.294627661,487848.27695362055,4661514.58324358,5.02418910395545
73,K-35-075-1_x4032_y672.png,K-35-075-1,10pct,354091.12184535793,4646351.599315729,356023.7601882102,4648284.237658581,5.032912351177704
74,K-35-076-1_x0_y1344.png,K-35-076-1,10pct,375317.85103313136,4642124.071074352,377250.2232380006,4644056.443279221,5.032219283513617
75,K-35-074-4_x1008_y1344.png,K-35-074-4,10pct,317634.92655637476,4624964.001100763,319570.50382903736,4626899.578373426,5.040565814225526
76,K-35-055-4_x4032_y0.png,K-35-055-4,10pct,540590.5868883845,4703472.986728103,542514.3217200756,4705396.721559794,5.0097261241953674
77,K-35-076-2_x336_y2352.png,K-35-076-2,10pct,397767.8786229406,4636719.775806562,399700.14843459264,4638652.045618214,5.031952634510465
78,K-35-074-2_x3360_y2016.png,K-35-074-2,10pct,329950.2094457195,4640100.440278504,331883.01153821277,4642033.242370998,5.033338782534581
79,K-35-074-1_x0_y0.png,K-35-074-1,10pct,292277.57156638114,4650822.124447172,294210.55786607333,4652755.110746863,5.033818488781738
80,K-35-064-4_Galabovo_4326_x1008_y2016.png,K-35-064-4_Galabovo_4326,10pct,401156.5874495886,4657161.614985433,403093.85842928576,4659098.88596513,5.044976509628062
81,K-35-052-2_x4032_y336.png,K-35-052-2,10pct,417333.2146976479,4720911.356023992,419254.34041099827,4722832.481737343,5.002931545183249
82,K-35-067-2_x2688_y1008.png,K-35-067-2,10pct,533931.4435651704,4679906.609516322,535857.9660813428,4681833.132032494,5.016985719198904
83,K-35-067-1_x2016_y3696.png,K-35-067-1,10pct,509985.20807604055,4666330.627501394,511911.69225748203,4668257.111682835,5.016885889170529
84,K-35-067-4_x2016_y0.png,K-35-067-4,10pct,530628.8690377313,4666455.016954575,532558.1735461195,4668384.321462963,5.024230490594164
85,K-35-077-3_x3360_y3024.png,K-35-077-3,10pct,433552.0294536472,4614537.263002498,435486.98839887197,4616472.221947723,5.038955586522813
86,K-35-077-3_x1008_y1680.png,K-35-077-3,10pct,421700.4059141457,4621309.619310784,423635.36485937046,4623244.578256009,5.038955586522813
87,K-35-067-2_x336_y3024.png,K-35-067-2,10pct,522131.49315361475,4669792.366306417,524058.0156697871,4671718.888822589,5.016985719198904
88,K-35-075-3_x1344_y336.png,K-35-075-3,10pct,340142.05816480424,4629531.418057703,342077.47059512296,4631466.830488022,5.040136537288315
89,K-35-074-2_x672_y2016.png,K-35-074-2,10pct,316420.5947982665,4640100.440278504,318353.39689075976,4642033.242370998,5.033338782534581
90,K-35-074-2_x2688_y2352.png,K-35-074-2,10pct,326567.80578385625,4638409.238447572,328500.60787634953,4640342.040540066,5.033338782534581
91,K-35-064-1_Sredets_4326_x3696_y2688.png,K-35-064-1_Sredets_4326,10pct,394271.09750828,4672680.3246985115,396207.4649787326,4674616.692168964,5.042623620970214
92,K-35-076-3_x2016_y3024.png,K-35-076-3,10pct,385154.69250376354,4615139.84056308,387089.8370182426,4617074.985077559,5.039438839789152
93,K-35-064-3_Dimitrovgrad_4326_x4032_y3024.png,K-35-064-3_Dimitrovgrad_4326,10pct,395669.56517865404,4652455.803824013,397608.5817893009,4654394.82043466,5.049522423559513
94,K-35-063-3_Tatarevo_4326_x1680_y2016.png,K-35-063-3_Tatarevo_4326,10pct,342284.51541102625,4658495.095200437,344227.23851912044,4660437.818308531,5.059174760661942
95,K-35-052-2_x0_y336.png,K-35-052-2,10pct,397161.39470746904,4720911.356023992,399082.5204208194,4722832.481737343,5.002931545183249
96,K-35-053-1_x672_y2352.png,K-35-053-1,10pct,421065.3894111596,4710553.355404611,422986.4353577878,4712474.401351239,5.002723819344283
97,K-35-051-4_x336_y0.png,K-35-051-4,10pct,357378.7431501806,4704808.82307298,359302.88412542146,4706732.964048221,5.010783789689715
98,K-35-065-3_Glavan_4326_x1680_y1344.png,K-35-065-3_Glavan_4326,10pct,425299.7754872879,4660225.832675415,427235.2329545638,4662161.290142691,5.040253821031001
99,K-35-065-2_GManastir_4326_x2352_y336.png,K-35-065-2_GManastir_4326,10pct,449580.99947543716,4683547.802061135,451511.8860441168,4685478.688629814,5.028350439269919
100,K-35-074-3_x3360_y1680.png,K-35-074-3,10pct,308677.46805367916,4623843.666578814,310613.2307649814,4625779.429290117,5.041048727349637
101,K-35-066-1_x2688_y2688.png,K-35-066-1,10pct,472055.67494520475,4671451.554311553,473982.2020466114,4673378.08141296,5.016997659913159
102,K-35-077-4_x0_y3024.png,K-35-077-4,10pct,437433.8125612012,4614326.356203951,439368.7095971886,4616261.253239938,5.038794364550388
103,K-35-065-4_x3360_y336.png,K-35-065-4,10pct,454638.75079221,4664891.515234373,456568.10066095076,4666820.865103113,5.024348616512422
104,K-35-075-4_x1344_y2352.png,K-35-075-4,10pct,360955.24827134307,4618918.257615949,362890.5164493223,4620853.525793929,5.039760880154215
105,K-35-074-3_x0_y3024.png,K-35-074-3,10pct,291739.54432978434,4617068.4970892565,293675.3070410866,4619004.259800559,5.041048727349637
106,K-35-063-2_Chirpan_4326_x1008_y2016.png,K-35-063-2_Chirpan_4326,10pct,360013.2355503778,4676513.973231367,361951.3853634449,4678452.123044434,5.047265138195598
107,K-35-075-2_x1008_y672.png,K-35-075-2,10pct,359631.0907647415,4645898.430974185,361563.5858125935,4647830.926022037,5.032539187114708
108,K-35-062-4_Asenovgrad_4326_x2016_y1008.png,K-35-062-4_Asenovgrad_4326,10pct,323230.8932397776,4664165.535746785,325175.47834366956,4666110.120850677,5.064023708051991
109,K-35-067-1_x336_y1344.png,K-35-067-1,10pct,501556.8397822341,4678130.343112723,503483.3239636756,4680056.827294164,5.016885889170529
110,K-35-066-4_x2352_y3024.png,K-35-066-4,10pct,490983.37095448875,4651144.656933015,492912.65957040765,4653073.945548934,5.02418910395545
111,K-35-077-4_x2016_y1680.png,K-35-077-4,10pct,447592.02200013463,4621098.495829907,449526.919036122,4623033.392865894,5.038794364550388
112,K-35-055-4_x4032_y3360.png,K-35-055-4,10pct,540590.5868883845,4686640.306950807,542514.3217200756,4688564.041782497,5.0097261241953674
113,K-35-077-3_x0_y2016.png,K-35-077-3,10pct,416621.13868293073,4619616.530233713,418556.0976281555,4621551.489178938,5.038955586522813
114,K-35-076-4_x0_y672.png,K-35-076-4,10pct,395808.2751976145,4626660.549254272,397743.31663516595,4628595.5906918235,5.039170410290201
115,K-35-077-2_x2352_y1008.png,K-35-077-2,10pct,449429.3795979388,4642999.583797386,451361.5059652911,4644931.710164738,5.031579081646669
116,K-35-077-4_x4032_y1680.png,K-35-077-4,10pct,457750.2314390681,4621098.495829907,459685.12847505545,4623033.392865894,5.038794364550388
117,K-35-067-3_x4032_y2352.png,K-35-067-3,10pct,520128.38565402746,4654547.671163368,522057.64447231137,4656476.929981652,5.024111505947682
118,K-35-067-2_x2688_y336.png,K-35-067-2,10pct,533931.4435651704,4683278.023919623,535857.9660813428,4685204.546435796,5.016985719198904
119,K-35-053-4_Boyadzhik_x3024_y2352.png,K-35-053-4_Boyadzhik,10pct,453231.9393280896,4691814.716315798,455155.7189853177,4693738.495973026,5.009842857364826
120,K-35-075-3_x1680_y3360.png,K-35-075-3,10pct,341835.5440413331,4614290.045168944,343770.9564716518,4616225.457599263,5.040136537288315
121,K-35-065-1_Radetski_4326_x3024_y1680.png,K-35-065-1_Radetski_4326,10pct,432267.95313700545,4677053.433475815,434200.6568987436,4678986.137237553,5.0330827128597475
122,K-35-063-4_Skobelevo_4326_x336_y3360.png,K-35-063-4_Skobelevo_4326,10pct,356246.0834939953,4651197.003959684,358186.94172819937,4653137.862193888,5.0543183182397415
123,K-35-076-2_x3696_y1344.png,K-35-076-2,10pct,414675.2394748958,4641791.984062148,416607.50928654784,4643724.2538738,5.031952634510465
124,K-35-066-4_x1344_y2688.png,K-35-066-4,10pct,485918.98833770165,4652832.784471945,487848.27695362055,4654762.073087864,5.02418910395545
125,K-35-062-4_Asenovgrad_4326_x2688_y336.png,K-35-062-4_Asenovgrad_4326,10pct,326633.9171715886,4667568.559678596,328578.50227548054,4669513.144782488,5.064023708051991
126,K-35-066-3_x2688_y2352.png,K-35-066-3,10pct,471966.9156669226,4654611.496508209,473896.2247552208,4656540.805596507,5.024242417443323
127,K-35-074-1_x336_y3696.png,K-35-074-1,10pct,293968.9345786118,4632217.131312635,295901.920878304,4634150.1176123265,5.033818488781738
128,K-35-066-1_x1008_y2352.png,K-35-066-1,10pct,463627.1188765506,4673137.265525284,465553.64597795723,4675063.792626691,5.016997659913159
129,K-35-051-4_x2688_y672.png,K-35-051-4,10pct,369164.10662353074,4701441.576366309,371088.2475987716,4703365.71734155,5.010783789689715
130,K-35-066-4_x4032_y672.png,K-35-066-4,10pct,499424.0086491339,4662961.549705518,501353.2972650528,4664890.838321437,5.02418910395545
131,K-35-064-1_Sredets_4326_x3696_y336.png,K-35-064-1_Sredets_4326,10pct,394271.09750828,4684540.575455033,396207.4649787326,4686476.942925486,5.042623620970214
132,K-35-074-2_x1680_y3696.png,K-35-074-2,10pct,321494.20029106137,4631644.431123846,323427.00238355465,4633577.23321634,5.033338782534581
133,K-35-066-3_x4032_y2016.png,K-35-066-3,10pct,478719.4974759664,4656299.64196047,480648.80656426464,4658228.951048768,5.024242417443323
134,K-35-064-4_Galabovo_4326_x336_y3696.png,K-35-064-4_Galabovo_4326,10pct,397766.36323511857,4648686.054449258,399703.63421481574,4650623.325428955,5.044976509628062
135,K-35-064-4_Galabovo_4326_x2352_y2016.png,K-35-064-4_Galabovo_4326,10pct,407937.0358785286,4657161.614985433,409874.3068582258,4659098.88596513,5.044976509628062
136,K-35-054-2_Atolov_4326_x4032_y1344.png,K-35-054-2_Atolov_4326,10pct,499453.23670209193,4715169.036570307,501375.05735217326,4717090.857220388,5.00474127625345
137,K-35-042-3_x4032_y3024.png,K-35-042-3,10pct,479037.3282162948,4725361.272056455,480955.47548163554,4727279.419321796,4.995175170158139
138,K-35-076-3_x0_y1680.png,K-35-076-3,10pct,374995.18380274845,4621912.846363757,376930.3283172275,4623847.990878236,5.039438839789152
139,K-35-076-3_x3360_y1680.png,K-35-076-3,10pct,391927.69830444024,4621912.846363757,393862.8428189193,4623847.990878236,5.039438839789152
140,K-35-076-2_x2352_y3696.png,K-35-076-2,10pct,407912.29513411375,4629956.83146578,409844.5649457658,4631889.1012774315,5.031952634510465
141,K-35-066-2_x2352_y2352.png,K-35-066-2,10pct,491020.44655622053,4673046.627139326,492946.9533218719,4674973.133904978,5.016944702217036
142,K-35-077-4_x4032_y3024.png,K-35-077-4,10pct,457750.2314390681,4614326.356203951,459685.12847505545,4616261.253239938,5.038794364550388
143,K-35-074-3_x3696_y2016.png,K-35-074-3,10pct,310371.2604260686,4622149.874206425,312307.0231373709,4624085.636917727,5.041048727349637
144,K-35-077-2_x1680_y1008.png,K-35-077-2,10pct,446048.1584550722,4642999.583797386,447980.2848224245,4644931.710164738,5.031579081646669
145,K-35-064-1_Sredets_4326_x1344_y336.png,K-35-064-1_Sredets_4326,10pct,382410.84675175796,4684540.575455033,384347.2142222105,4686476.942925486,5.042623620970214
146,K-35-051-3_x1008_y1344.png,K-35-051-3,10pct,340149.0359769222,4698528.0246107625,342073.317384524,4700452.306018365,5.011149498962975
147,K-35-063-3_Tatarevo_4326_x2016_y1680.png,K-35-063-3_Tatarevo_4326,10pct,343984.39813060866,4660194.97792002,345927.12123870285,4662137.701028114,5.059174760661942
148,K-35-055-1_x672_y336.png,K-35-055-1,10pct,503232.76911376114,4720211.180944708,505153.6870889849,4722132.098919932,5.002390560478489
149,K-35-065-2_GManastir_4326_x3696_y1344.png,K-35-065-2_GManastir_4326,10pct,456339.102465816,4678479.224818351,458269.98903449567,4680410.11138703,5.028350439269919
150,K-35-063-1_Granit_4326_x3360_y1680.png,K-35-063-1_Granit_4326,10pct,351192.1377872677,4678716.717980119,353132.16612966463,4680656.746322516,5.052157141658729
151,K-35-075-3_x2688_y2016.png,K-35-075-3,10pct,346916.00167091965,4621063.988675059,348851.41410123836,4622999.401105378,5.040136537288315
152,K-35-074-4_x4032_y336.png,K-35-074-4,10pct,332877.59757859295,4630044.891441502,334813.17485125555,4631980.468714165,5.040565814225526
153,K-35-042-3_x3360_y1344.png,K-35-042-3,10pct,475680.5705019486,4733753.166342321,477598.7177672893,4735671.313607662,4.995175170158139
154,K-35-054-4_Voynika_x2016_y3360.png,K-35-054-4_Voynika,10pct,489374.41152041976,4686523.158695866,491298.1307432405,4688446.877918687,5.0096854760956075
155,K-35-052-2_x0_y672.png,K-35-052-2,10pct,397161.39470746904,4719230.371024811,399082.5204208194,4721151.496738161,5.002931545183249
156,K-35-055-3_x672_y672.png,K-35-055-3,10pct,503237.64884396177,4700015.756806365,505161.35272121086,4701939.460683614,5.009645513669511
157,K-35-075-1_x3696_y3024.png,K-35-075-1,10pct,352400.0632953622,4634514.189465758,354332.70163821446,4636446.82780861,5.032912351177704
158,K-35-065-1_Radetski_4326_x0_y3360.png,K-35-065-1_Radetski_4326,10pct,417047.9110133175,4668597.8545182105,418980.61477505567,4670530.558279948,5.0330827128597475
159,K-35-066-2_x4032_y2688.png,K-35-066-2,10pct,499448.91365594516,4671360.933719381,501375.4204215965,4673287.440485032,5.016944702217036
160,K-35-067-1_x2016_y1008.png,K-35-067-1,10pct,509985.20807604055,4679816.016771484,511911.69225748203,4681742.5009529255,5.016885889170529
161,K-35-075-2_x3696_y1344.png,K-35-075-2,10pct,373158.55609970586,4642516.564640443,375091.0511475579,4644449.059688295,5.032539187114708
162,K-35-055-4_x4032_y672.png,K-35-055-4,10pct,540590.5868883845,4700106.450772644,542514.3217200756,4702030.185604335,5.0097261241953674
163,K-35-075-4_x2016_y1344.png,K-35-075-4,10pct,364341.96758280665,4623998.336583144,366277.2357607859,4625933.604761124,5.039760880154215
164,K-35-067-2_x4032_y3360.png,K-35-067-2,10pct,540674.2723717736,4668106.659104765,542600.794887946,4670033.181620938,5.016985719198904
165,K-35-062-4_Asenovgrad_4326_x0_y3696.png,K-35-062-4_Asenovgrad_4326,10pct,313021.8214443447,4650553.440019541,314966.4065482367,4652498.025123433,5.064023708051991
166,K-35-067-1_x336_y2352.png,K-35-067-1,10pct,501556.8397822341,4673073.322136438,503483.3239636756,4674999.80631788,5.016885889170529
167,K-35-056-3_x2688_y1680.png,K-35-056-3,10pct,554399.6278344272,4695207.761758721,556323.4025517708,4697131.536476065,5.009829993082349
168,K-35-054-2_Atolov_4326_x3024_y3024.png,K-35-054-2_Atolov_4326,10pct,494408.4574956284,4706761.071226201,496330.2781457097,4708682.891876282,5.00474127625345
169,K-35-054-1_Straldzha_4326_x3696_y3696.png,K-35-054-1_Straldzha_4326,10pct,477191.30551548564,4703531.386805289,479114.86359464907,4705454.944884453,5.009265831154759
170,K-35-065-4_x2352_y336.png,K-35-065-4,10pct,449574.20738676545,4664891.515234373,451503.5572555062,4666820.865103113,5.024348616512422
171,K-35-075-3_x1008_y0.png,K-35-075-3,10pct,338448.57228827535,4631224.903934232,340383.98471859406,4633160.316364551,5.040136537288315
172,K-35-066-1_x2352_y2688.png,K-35-066-1,10pct,470369.96373147395,4671451.554311553,472296.4908328806,4673378.08141296,5.016997659913159
173,K-35-056-3_x1008_y3696.png,K-35-056-3,10pct,545983.1134460488,4685107.944492668,547906.8881633924,4687031.719210012,5.009829993082349
174,K-35-054-1_Straldzha_4326_x3696_y3024.png,K-35-054-1_Straldzha_4326,10pct,477191.30551548564,4706897.613443825,479114.86359464907,4708821.171522989,5.009265831154759
175,K-35-067-3_x336_y3360.png,K-35-067-3,10pct,501559.26952804497,4649483.366765372,503488.5283463289,4651412.625583656,5.024111505947682
176,K-35-074-2_x3360_y0.png,K-35-074-2,10pct,329950.2094457195,4650247.651264094,331883.01153821277,4652180.453356587,5.033338782534581
177,K-35-051-4_x3360_y1680.png,K-35-051-4,10pct,372531.35333020217,4696390.706306301,374455.494305443,4698314.847281542,5.010783789689715
178,K-35-075-2_x1680_y2352.png,K-35-075-2,10pct,363012.9570984825,4637443.765139831,364945.4521463346,4639376.260187684,5.032539187114708
179,K-35-075-1_x1680_y672.png,K-35-075-1,10pct,342253.71199538803,4646351.599315729,344186.35033824027,4648284.237658581,5.032912351177704
180,K-35-067-1_x672_y3696.png,K-35-067-1,10pct,503242.5134409954,4666330.627501394,505168.9976224369,4668257.111682835,5.016885889170529
181,K-35-055-2_x2016_y3696.png,K-35-055-2,10pct,530421.7276991566,4703493.721888095,532342.6692237117,4705414.66341265,5.002451886862218
182,K-35-065-2_GManastir_4326_x0_y672.png,K-35-065-2_GManastir_4326,10pct,437754.3192422743,4681858.27631354,439685.2058109539,4683789.162882219,5.028350439269919
